,Netherlands,Austria,Zambia,Ecuador,Gambia,Russia,Paraguay,Mexico,Canada,Kenya,Greece,South Korea,Kuwait,United Kingdom,Sri Lanka,Nepal,Romania,Cameroon,Finland,Germany,Thailand,Denmark,Barbados,Yemen,Haiti,Sudan,Libya,Portugal,Cuba,Reunion,Malta,Trinidad and Tobago,Venezuela,Bulgaria,Niger,Guatemala,Iceland,Dominican Republic,Ghana,Uruguay,Benin,Italy,Lesotho,Honduras,Egypt,Argentina,Luxembourg,Czech Republic,Algeria,Syria,Peru,Cambodia,Democratic Republic of Congo,Colombia,Sweden,Turkey,New Zealand,Iraq,Hungary,Belize,Indonesia,South Africa,Swaziland,Jordan,Japan,Afghanistan,Jamaica,Serbia,Cyprus,Hong Kong,Guyana,El Salvador,Brazil,Malawi,Spain,Malaysia,Senegal,Belgium,Taiwan,Fiji,Morocco,Philippines,Togo,Chile,Mali,Tunisia,Cote d'Ivoire,Liberia,Costa Rica,Nicaragua,Mozambique,Albania,Pakistan,Bolivia,Uganda,Bangladesh,Iran,Myanmar,China,Norway,Ireland,France,Sierra Leone,Poland,Mauritius,Australia,Switzerland,Panama,United States,Zimbabwe,India
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.013182963918440767,0.01115936712306072,0.007514526111499,0.008768919446646865,0.0032779901305279103,0.01365631989396826,0.0077512040992627484,0.009419783912997172,0.013478811403145451,0.006993834538418755,0.011715560394305529,0.013964001278061135,0.00724234642557069,0.011798397690022841,0.01274510964107783,0.003704010508502657,0.012591268949031396,0.006816326047595943,0.011715560394305529,0.012532099452090458,0.007206844727406128,0.013608984296415513,0.010922689135296973,0.002899305350105914,0.005254251328355207,0.003656674910949907,0.008331065169283931,0.009952309385465605,0.011691892595529154,0.008780753346035052,0.01234275706187946,0.011502550205318155,0.008295563471119368,0.011419712909600843,0.0016922476125107984,0.0051477462338615195,0.011952238382069276,0.008319231269895744,0.007893210891920997,0.009893139888524667,0.00391702069749003,0.011514384104706343,0.007538193910275375,0.0069464989408660055,0.007455356614558063,0.010745180644474162,0.011739228193081902,0.015123723418103498,0.007171343029241565,0.005668437806941765,0.0107096789463096,0.0043075393773002145,0.0041655325846419655,0.00842573636438943,0.013869330082955636,0.007538193910275375,0.014177011467048507,0.007372519318840752,0.013691821592132825,0.009691963598925482,0.006402139569009385,0.009372448315444423,0.0054672615173425795,0.01047300095854585,0.013928499579896572,0.0035856715146207825,0.011348709513271719,0.011265872217554406,0.01280427913801877,0.012271753665550335,0.00997597718424198,0.008331065169283931,0.007999715986414684,0.004414044471793901,0.011419712909600843,0.011230370519389845,0.0023431120788611056,0.012958119830065205,0.012283587564938523,0.011798397690022841,0.004840064849768648,0.009419783912997172,0.005976119191034638,0.011135699324284345,0.0015384069204643623,0.007479024413334439,0.004804563151604085,0.004260203779747465,0.009419783912997172,0.00674532265126682,0.0013372306308651763,0.01175106209247009,0.004709891956498586,0.010330994165887602,0.005396258121013455,0.005644770008165391,0.00906476693135155,0.0046033868620049,0.009218607623397986,0.013679987692744637,0.013052791025170703,0.012094245174727526,0.0034318308225743466,0.01270960794291327,0.008366566867448494,0.013455143604369075,0.011999573979622027,0.010934523034685159,0.015502408198525497,0.008591410955824054,0.0062719666757393225
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,0.012341442897305915,0.010946804507117085,0.007294180151860626,0.00852279016226507,0.00375224138312709,0.013016624975095745,0.008888052597790715,0.009851017200540147,0.013824629756713083,0.007172426006685411,0.012120071724260066,0.013581121466362651,0.006796095012507472,0.01280632236070219,0.01198724902043256,0.00413964093595732,0.01179908352334359,0.006707546543289133,0.011533438115688577,0.013260133265446176,0.008257144754610056,0.013071967768357206,0.010415513691807054,0.0034533902995151976,0.005423593739623227,0.0036636929139087513,0.008622407190135701,0.008987669625661346,0.011467026763774821,0.008688818542049455,0.011732672171429837,0.01136740973590419,0.008633475748787993,0.01174374073008213,0.0017931065016713527,0.004792685896442566,0.011920837668518806,0.008345693223828395,0.00813539060943484,0.009408274854448454,0.004261395081132535,0.011289929825338144,0.007980430788302748,0.006906780599030395,0.007670511146038563,0.010592610630243731,0.011721603612777545,0.014178823633586437,0.007117083213423948,0.006773957895202887,0.010935735948464793,0.004715205985876519,0.004017886790782105,0.008367830341132977,0.013127310561618666,0.0075930312354725174,0.013282270382750759,0.007305248710512917,0.013160516237575545,0.009684988820755762,0.007393797179731256,0.009806742965930976,0.005135811214663627,0.01053726783698227,0.013415093086578267,0.003674761472561043,0.01116817568016293,0.011732672171429837,0.011278861266685853,0.013470435879839728,0.00972926305536493,0.008943395391052178,0.008489584486308193,0.005169016890620504,0.011776946406039008,0.011245655590728976,0.001848449294932814,0.012297168662696744,0.01256281407035176,0.010802913244637283,0.0051247426560113345,0.00915369800544573,0.006021295906847011,0.011024284417683132,0.002003409116064906,0.007980430788302748,0.005002988510836119,0.0043831492263077506,0.009430411971753039,0.006951054833639564,0.0014831868594071683,0.011334204059947315,0.005523210767493857,0.009707125938060347,0.005656033471321365,0.006098775817413056,0.009397206295796162,0.0049255086002700735,0.008876984039138424,0.01318265335488013,0.013060899209704914,0.012020454696389437,0.0037190357071702125,0.012573882629004052,0.009031943860270517,0.012961282181834283,0.011976180461780268,0.010526199278329977,0.014400194806632282,0.00846744736900361,0.006574723839461626
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.01225626157855625,0.010602555917230983,0.007745203730257579,0.008394126204954834,0.004102864678731041,0.012580722815904877,0.008362726730372711,0.009608239222130348,0.013334310205875886,0.006771820018211694,0.01188993437509812,0.01356457301947814,0.006688088085992693,0.013041248443109384,0.011167746459709239,0.004647122238154547,0.011596872612331619,0.006709021069047444,0.01120961242581874,0.013166846341437884,0.008865118323686716,0.012528390358268004,0.010016432391697977,0.0040191327465120405,0.00541117611965293,0.0036528055430539125,0.008823252357577215,0.009116314120343718,0.011575939629276869,0.008676721476193963,0.011575939629276869,0.011471274714003117,0.009189579561035343,0.011586406120804244,0.0020409658478381457,0.00545304208576243,0.012015532273426622,0.008498791120228586,0.008017332509969333,0.009011649205069966,0.004783186628010424,0.01120961242581874,0.006363626848644065,0.00690788440806757,0.00778706969636708,0.01016296327308123,0.011858534900515996,0.013397109155040138,0.007326544069162575,0.007399809509854201,0.009712904137404098,0.005170446814523303,0.0039668002888751655,0.009786169578095725,0.012507457375213252,0.00778706969636708,0.011638738578441117,0.007776603204839704,0.012538856849795377,0.010079231340862228,0.008394126204954834,0.010351360120573982,0.005578639984090932,0.010466491527375107,0.013020315460054633,0.004113331170258417,0.010811885747778485,0.012057398239536122,0.012308594036193126,0.01276911966339763,0.009419842374637596,0.008435992171064336,0.008551123577865463,0.005243712255214928,0.01125147839192824,0.011398009273311492,0.003255078865013658,0.011816668934406494,0.01251792386674063,0.010832818730833235,0.005515841034926681,0.009053515171179468,0.00637409334017144,0.010832818730833235,0.002239829186858273,0.008373193221900086,0.0051599803229959275,0.004552923814408171,0.008823252357577215,0.007138147221669823,0.0021246977800571465,0.01092701715457961,0.005432109102707681,0.008969783238960466,0.006143830526569188,0.006510157730027316,0.009576839747548223,0.00534837717048868,0.008634855510084463,0.012193462629391999,0.013030781951582008,0.01186900139204337,0.004479658373716546,0.012162063154809872,0.0098803680018421,0.012235328595501499,0.013522707053368638,0.010173429764608605,0.013857634782244641,0.008226662340516834,0.006897417916540195
